scenario,scheduler,cluster,arrival_rate,failure_rate,controller,seed,n_dags,mean_makespan,mean_imbalance,mean_locality,throughput,n_failures,n_adaptations,wall_seconds
C_failure,HEFT-LC,skewed_8,0.15,0.2,off,3,63,15.470182503039997,0.06401436693039772,0.44349028396647444,0.1575,11,0,0.0
C_failure,DLS,skewed_8,0.15,0.0,off,1,65,9.4277678061927,0.1482051101876071,0.6961221470836856,0.1625,0,0,0.0
C_failure,DLS,skewed_8,0.15,0.0,off,2,55,9.95479007195936,0.1601755229410835,0.6988939848030757,0.1375,0,0,0.0
C_failure,DLS,skewed_8,0.15,0.0,off,3,63,9.228029003357777,0.13175614518037213,0.7062720788911265,0.1575,0,0,0.0
C_failure,DLS,skewed_8,0.15,0.05,off,1,65,9.7936710607028,0.14266258236535992,0.7012682829990522,0.1625,4,0,0.0
C_failure,DLS,skewed_8,0.15,0.05,off,2,55,9.95479007195936,0.1601755229410835,0.6988939848030757,0.1375,1,0,0.0
C_failure,DLS,skewed_8,0.15,0.05,off,3,63,9.639519133376771,0.1346601480967359,0.6938496688496688,0.1575,2,0,0.0
C_failure,DLS,skewed_8,0.15,0.1,off,1,65,9.461546630792435,0.17696634092650038,0.6952674462289847,0.1625,4,0,0.0
C_failure,DLS,skewed_8,0.15,0.1,off,2,55,9.99352223585011,0.17972674313215192,0.6988939848030757,0.1375,2,0,0.0
C_failure,DLS,skewed_8,0.15,0.1,off,3,63,9.66079086836951,0.15366484990383025,0.7039246908294527,0.1575,5,0,0.0
C_failure,DLS,skewed_8,0.15,0.2,off,1,65,9.62817938375571,0.170954847804643,0.7049494309109693,0.1625,11,0,0.0
C_failure,DLS,skewed_8,0.15,0.2,off,2,55,10.339878306514782,0.1660221795604195,0.6905617614708524,0.1375,8,0,0.0
C_failure,DLS,skewed_8,0.15,0.2,off,3,63,9.971523682879594,0.13619648279387492,0.709429965977585,0.1575,11,0,0.0
C_failure,RL,skewed_8,0.15,0.0,off,1,65,32.43934115220146,0.07036542845104388,0.3822462153231384,0.1625,0,0,0.0
C_failure,RL,skewed_8,0.15,0.0,off,2,55,34.93539076033761,0.07699945155797158,0.35365346774437684,0.1375,0,0,0.0
