cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT,1,542.5713613939081,burst,13.34117096987086,0.005518941032768679,0.0,0.42857142857142855
skewed_8,HEFT,1,553.024388321631,burst,17.762753225156416,0.005769982315157949,0.0,0.6111111111111112
skewed_8,HEFT,1,561.3492688967424,burst,8.961014002081129,0.004054924352884,0.0,0.5
skewed_8,HEFT,1,566.1509866380918,burst,15.615964480528419,0.005380641858119224,0.0,0.7
skewed_8,HEFT,1,567.3965824314713,burst,11.552430260819278,0.0064774052108069234,0.0,0.5
skewed_8,HEFT,1,571.4241074768798,burst,12.36393916745817,0.002654005883493075,0.0,0.5
skewed_8,HEFT,1,582.1602681196438,burst,15.52124425065199,0.007834894658612798,0.0,0.3333333333333333
skewed_8,HEFT,1,582.9783116085599,burst,10.56138026852227,0.005913199530861591,0.0,0.75
skewed_8,HEFT,1,586.7935160346323,burst,17.789175801217993,0.005464567295155781,0.0,0.4
skewed_8,HEFT,1,589.4126873057335,burst,12.688561182002218,0.0057212903077566435,0.0,0.375
